car_id,brand,model,year,price_lakh,fuel_type,car_type,engine_cc,horsepower,mileage_kmpl,cylinders,engine_type,engine_size,fuel_system,stroke,max_speed_kmph,peak_rpm,drive_wheel,door_number,engine_location,length_mm,width_mm,height_mm,wheelbase_mm,weight_kg,battery_capacity_kwh,range_km,transmission
1,Hyundai,Creta,2023,28.4,Electric,Sedan,0,193,0.0,0,DOHC,0.0,Battery,0.0,186,0,FWD,5,Front,4448,1817,1858,2606,1606,39,387,Automatic
2,Mahindra,XUV700,2021,23.4,Petrol,SUV,1000,67,19.5,6,DOHC,1.0,MPFI,89.5,179,5903,FWD,4,Front,4996,1538,1491,2321,1169,,,Manual
3,Hyundai,i20,2026,32.1,CNG,SUV,1500,148,19.0,6,DOHC,1.5,MPFI,93.0,167,4518,RWD,5,Front,4167,1875,1622,2308,1135,,,Automatic
4,MG,Hector,2020,23.8,CNG,SUV,800,75,12.5,3,DOHC,0.8,MPFI,71.4,229,5200,FWD,4,Front,3602,1990,1806,2996,2104,,,Manual
5,Maruti Suzuki,Swift,2018,11.1,Electric,Sedan,0,72,0.0,0,DOHC,0.0,Battery,0.0,245,0,AWD,4,Front,4342,1852,1869,2750,1122,35,228,Automatic
6,Audi,A6,2018,15.4,Electric,SUV,0,133,0.0,0,DOHC,0.0,Battery,0.0,222,0,RWD,5,Front,4521,1881,1834,2892,2170,52,410,Manual
7,Hyundai,i20,2019,26.7,CNG,Sedan,1000,69,21.6,4,DOHC,1.0,MPFI,74.1,145,4923,RWD,4,Front,4236,1554,1861,2767,1156,,,Manual
8,Toyota,Fortuner,2020,39.7,Diesel,Sedan,2000,142,24.7,6,DOHC,2.0,MPFI,98.3,153,5368,FWD,5,Front,3821,1881,1868,2539,848,,,Manual
9,Honda,City,2022,29.4,Petrol,Sedan,1000,96,12.0,4,DOHC,1.0,MPFI,85.3,222,5578,FWD,5,Front,3591,1755,1839,2695,930,,,Automatic
10,Mercedes-Benz,C-Class,2020,24.9,CNG,SUV,1200,85,21.6,6,DOHC,1.2,MPFI,71.9,143,4810,FWD,4,Front,4952,1852,1513,2646,1491,,,Manual
11,Volkswagen,Taigun,2021,20.8,Petrol,Hatchback,800,72,23.2,3,DOHC,0.8,MPFI,77.3,166,4256,FWD,5,Front,4821,1971,1890,2968,1531,,,Manual
12,Hyundai,i20,2019,26.7,CNG,SUV,1200,73,17.6,6,DOHC,1.2,MPFI,83.9,132,4554,RWD,5,Front,4718,1895,1602,2608,1170,,,Manual
13,Skoda,Slavia,2025,23.5,Diesel,Sedan,800,56,23.2,6,DOHC,0.8,MPFI,84.3,143,4910,AWD,5,Front,4872,1590,1683,2572,1069,,,Automatic
14,Mahindra,Scorpio,2024,45.3,CNG,Hatchback,2000,179,23.3,4,DOHC,2.0,MPFI,79.5,157,4466,AWD,5,Front,3996,1563,1596,2757,1892,,,Manual
15,Hyundai,i20,2017,62.7,Diesel,Hatchback,3000,294,19.5,3,DOHC,3.0,MPFI,81.7,127,5417,RWD,5,Front,4103,1838,1818,2364,2030,,,Manual
16,BMW,X1,2022,18.2,Electric,Sedan,0,128,0.0,0,DOHC,0.0,Battery,0.0,212,0,FWD,5,Front,3534,1751,1534,2568,1049,75,330,Automatic
17,Hyundai,i20,2020,26.8,Diesel,Hatchback,1200,84,19.4,3,DOHC,1.2,MPFI,88.0,172,5211,AWD,4,Front,4398,1764,1891,2441,1675,,,Manual
18,MG,Hector,2019,27.7,Diesel,SUV,1200,118,16.1,4,DOHC,1.2,MPFI,95.6,132,6338,FWD,5,Front,3604,1595,1775,2411,1934,,,Automatic
19,Mahindra,XUV700,2020,24.0,Electric,Hatchback,0,153,0.0,0,DOHC,0.0,Battery,0.0,120,0,RWD,4,Front,3637,1908,1840,2424,1896,44,441,Manual
20,Hyundai,Creta,2024,18.9,Electric,SUV,0,167,0.0,0,DOHC,0.0,Battery,0.0,234,0,AWD,5,Front,3639,1704,1790,2304,843,57,329,Automatic
21,Tata,Nexon,2024,22.6,Electric,SUV,0,171,0.0,0,DOHC,0.0,Battery,0.0,160,0,AWD,5,Front,4693,1738,1883,2743,1260,78,349,Manual
22,Mercedes-Benz,C-Class,2024,61.1,Diesel,SUV,3000,267,24.5,6,DOHC,3.0,MPFI,88.9,186,4772,RWD,4,Front,3715,1579,1802,2973,1972,,,Manual
23,Hyundai,i20,2017,25.7,Diesel,SUV,800,78,22.9,6,DOHC,0.8,MPFI,90.4,156,5469,RWD,4,Front,4401,1966,1718,2631,925,,,Manual
24,Mercedes-Benz,C-Class,2021,24.5,Petrol,Sedan,1200,96,14.4,6,DOHC,1.2,MPFI,77.9,230,4300,FWD,4,Front,4686,1851,1799,2893,2088,,,Manual
25,Mahindra,XUV700,2025,29.1,Diesel,Hatchback,1500,108,13.7,6,DOHC,1.5,MPFI,71.1,216,5223,FWD,4,Front,4540,1628,1435,2874,1106,,,Automatic
26,Kia,Seltos,2018,58.9,Petrol,Sedan,3000,209,17.3,3,DOHC,3.0,MPFI,86.7,176,4633,FWD,5,Front,3856,1582,1485,2348,1056,,,Automatic
